(utilizzato amperometro e voltimetro) (riflessione dell'onda nel piano perpendicolare al tavolo) (in offset 1x)
theta || corrente polarizzarione  || voltaggio polarizz :
35  || 0.2 || 0.92
40 || 0.18 || 0.87
41 || 0.12 || 0.56
42 || 0.08 ||0.49
43 ||0.06, 0 || 0.39
44 ||0.04, 0  || 0.29
45 || 0.02 || 0.24
46 ||0.02 || 0.22
47 || 0.02 || 0.20
48 || 0.04 || 0.27
50 || 0.1 || 0.58
53 || 0.08 || 0.49
54 || 0.04 ||0.32
55 || 0.02 || 0.17
56 ||  || 0.08
57 || || 0.05 
58 || || 0.06
59 || || 0.12
60 || || 0.18

riflessione piano parallelo, ortogonale: (sensibilità di un millivolt) (offset x1) (dati ripresi)
35 ||  || -1.16  ,-2.50
40 ||  || -0.64, -2.49
45 ||  || -0.49,-2.72
50 ||  || -0.11 V, -2.79
53 ||  || -0.13 V, -2.49 V
54 ||  || -0.14 V, -2.43 V
55 ||  || -0.04, -2.90 V
56 ||  || -0.05, -3.16
57 ||  || -0.29, -2.45 
58 ||  || -0.40 , -2.44 
59 ||  || -0.33, -2.72
60 ||  || -0.03,-2.50 (dato inattendibile perchè troppo largo)

trasmissione (offset 10x)  (parallelo, ortogonale)
35 ||  || 0.87, 0.85
40 ||  ||  0.90, 0.87
45 ||  || 0.95, 0.84
50 ||  || 0.92,0.79
53 ||  || 1.05, 0.70
54 ||  || 1.09,0.69
55 ||  || 1.08, 0.78
56 ||  || 1.07 ,0.79
57 ||  || 1.05,0.80
58 ||  || 1.04,0.80
59 ||  || 1.00,0.77
